epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
75,18830.7,0.4943,0.36961,1.00808,0.00277,0.82838,0.82767,0.77755,0.61962,0.56291,0.35366,0.9994,0.00177,0.0002674,0.0002674,0.0002674
76,18998,0.48838,0.36831,1.01739,0.00281,0.82781,0.82906,0.77701,0.61208,0.56491,0.36009,0.9955,0.00173,0.0002575,0.0002575,0.0002575
77,19166.2,0.49826,0.37362,1.00982,0.00282,0.82304,0.83036,0.77282,0.6091,0.57661,0.36786,1.01293,0.00168,0.0002476,0.0002476,0.0002476
78,19333.8,0.49776,0.37517,1.00516,0.0026,0.8288,0.83008,0.77553,0.60909,0.57387,0.36236,1.02167,0.00174,0.0002377,0.0002377,0.0002377
79,19503.3,0.4958,0.37217,1.01626,0.00271,0.83128,0.83014,0.77727,0.61696,0.5601,0.3587,0.99835,0.0018,0.0002278,0.0002278,0.0002278
80,19673,0.48119,0.36706,1.00244,0.00288,0.83055,0.8289,0.7777,0.61245,0.56362,0.35336,0.99659,0.0017,0.0002179,0.0002179,0.0002179
81,19842.9,0.47997,0.36677,1.0058,0.00284,0.83492,0.83098,0.78034,0.61647,0.56149,0.34982,1.00269,0.00177,0.000208,0.000208,0.000208
82,20012.4,0.49163,0.37049,1.01097,0.00277,0.83113,0.83233,0.77983,0.61414,0.56041,0.34914,0.99546,0.00177,0.0001981,0.0001981,0.0001981
83,20182.2,0.48027,0.36732,1.00648,0.00298,0.83038,0.82969,0.77696,0.61223,0.56033,0.34882,0.99829,0.00172,0.0001882,0.0001882,0.0001882
84,20351.6,0.47671,0.36552,1.00024,0.0027,0.82892,0.82384,0.77299,0.6106,0.56242,0.35023,0.98971,0.00182,0.0001783,0.0001783,0.0001783
85,20521.7,0.48889,0.3675,1.01033,0.00266,0.8295,0.82536,0.77559,0.61971,0.55729,0.34575,0.99617,0.00167,0.0001684,0.0001684,0.0001684
86,20691.9,0.47956,0.36059,0.99667,0.00259,0.83259,0.82885,0.77705,0.61765,0.55415,0.35161,0.98869,0.00177,0.0001585,0.0001585,0.0001585
87,20909.8,0.4699,0.35847,0.98707,0.0027,0.83272,0.82762,0.77896,0.61608,0.55285,0.3469,0.9898,0.00175,0.0001486,0.0001486,0.0001486
88,21316.6,0.47189,0.35651,0.99574,0.00283,0.82937,0.82562,0.77475,0.61957,0.5426,0.34861,0.98448,0.0017,0.0001387,0.0001387,0.0001387
89,21725.6,0.46639,0.35591,0.99328,0.00261,0.82842,0.82512,0.77363,0.61245,0.54589,0.34301,0.9823,0.00167,0.0001288,0.0001288,0.0001288
90,22134.9,0.47277,0.34808,0.99579,0.00265,0.83361,0.83466,0.78187,0.62081,0.55212,0.34433,0.98787,0.00176,0.0001189,0.0001189,0.0001189
91,22546.4,0.4658,0.33653,0.9673,0.00236,0.82571,0.82627,0.77818,0.61682,0.55604,0.35147,0.99102,0.00171,0.000109,0.000109,0.000109
92,22972.9,0.44014,0.31599,0.9558,0.00255,0.82764,0.83763,0.78339,0.62397,0.54192,0.34058,0.98716,0.00175,9.91e-05,9.91e-05,9.91e-05
93,23402.7,0.43712,0.31842,0.95515,0.00229,0.83261,0.82901,0.78001,0.62001,0.55447,0.34565,0.98598,0.00175,8.92e-05,8.92e-05,8.92e-05
94,23835,0.44663,0.31294,0.95579,0.00237,0.83044,0.8291,0.77974,0.61591,0.54355,0.33993,0.98314,0.00171,7.93e-05,7.93e-05,7.93e-05
95,24259.8,0.44247,0.31489,0.95849,0.00245,0.83028,0.83075,0.78166,0.6186,0.5402,0.34295,0.98304,0.00173,6.94e-05,6.94e-05,6.94e-05
96,24686.8,0.43167,0.31082,0.94549,0.00258,0.8259,0.83665,0.77995,0.61925,0.54737,0.34089,0.98434,0.00168,5.95e-05,5.95e-05,5.95e-05
97,25109.8,0.44066,0.32209,0.95359,0.00255,0.82814,0.82541,0.77714,0.62052,0.53864,0.33791,0.97936,0.00167,4.96e-05,4.96e-05,4.96e-05
98,25353,0.43124,0.30991,0.94483,0.00248,0.82082,0.83345,0.77731,0.62109,0.53545,0.33836,0.97681,0.00169,3.97e-05,3.97e-05,3.97e-05
99,25551.7,0.43446,0.30601,0.94714,0.00235,0.83227,0.83011,0.78129,0.62288,0.53473,0.33588,0.97591,0.00168,2.98e-05,2.98e-05,2.98e-05
100,25752.4,0.42998,0.31217,0.95018,0.00256,0.82825,0.8264,0.77683,0.62011,0.53419,0.33746,0.97738,0.00169,1.99e-05,1.99e-05,1.99e-05
